"pathway"	"Female"	"Male"
"M1"	9.34490206683288e-150	1.18374878426848e-150
"M10"	8.48566558948007e-23	3.66168402769844e-22
"M11"	6.44099720743456e-37	2.58826987546829e-36
"M12"	0.0376081205700977	0.0348531419695088
"M13"	1.57256800602875e-50	4.87465616151924e-50
"M14"	0.239130434782609	0.232009925558313
"M15"	1.09683407524247e-18	3.41885901749768e-18
"M16"	1.79015021105066e-27	1.51399251410195e-28
"M17"	0.386363636363636	0.352534562211982
"M18"	2.02223102708104e-10	6.02351421729158e-11
"M19"	6.11334187528911e-22	3.97602568961522e-22
"M2"	8.2351743932846e-19	2.0112340245458e-18
"M20"	0.000863379777662129	0.00111178493819944
"M21"	1	1
"M22"	1	1
"M23"	3.70609928616066e-06	4.56914467462246e-06
"M24"	9.67232508101039e-14	2.72280023638238e-13
"M25"	6.86396392056905e-11	6.02351421729158e-11
"M26"	0.188235294117647	0.209230769230769
"M27"	1	1
"M28"	0.0834321715187303	0.105027155664136
"M29"	1	1
"M3"	2.60350820561605e-10	3.27651461725455e-10
"M30"	0.114247311827957	0.124633431085044
"M31"	5.14243247193189e-23	1.98901581548178e-22
"M32"	5.33433440641598e-09	4.19189168050613e-09
"M33"	1.42048755526753e-05	1.44720705325255e-05
"M4"	1	1
"M5"	0.335125448028674	0.352534562211982
"M6"	5.31418627868059e-10	8.75416248340329e-10
"M7"	1	1
"M8"	1.18596995993966e-09	2.38430622776644e-09
"M9"	1.7622095382765e-78	1.02722470388677e-79
"Not.Correlated"	0.0183519738136781	0.0243172462597173
