"modules"	"Female_12545"	"Female_12994"	"Female_15240"	"Female_15296"	"Female_15533"	"Female_15768"	"Female_16286"	"Female_16548"	"Female_16840"	"Female_17068"	"Female_17081"	"Female_17109"	"Female_17111"	"Female_17130"	"Female_17160"	"Female_17221"	"Female_17229"	"Female_17486"	"Female_17543"	"Female_17666"	"Female_17753"	"Female_17812"	"Female_17835"	"Female_17921"	"Female_17923"	"Female_18015"	"Female_18139"	"Female_18241"	"Female_18266"	"Female_18282"	"Female_18294"	"Female_18349"	"Female_18355"	"Female_18372"	"Female_18559"	"Female_18611"	"Female_18655"	"Female_18687"	"Female_18694"	"Female_18983"	"Female_19031"	"Female_19043"	"Female_19052"	"Female_11396"	"Female_11654"	"Female_11907"	"Female_12116"	"Female_12153"	"Female_12972"	"Female_13117"	"Male_11875"	"Male_12107"	"Male_12546"	"Male_12993"	"Male_13142"	"Male_15329"	"Male_15468"	"Male_15655"	"Male_16117"	"Male_16483"	"Male_16488"	"Male_16640"	"Male_16649"	"Male_16810"	"Male_16826"	"Male_16859"	"Male_16929"	"Male_17013"	"Male_17049"	"Male_17053"	"Male_17054"	"Male_17071"	"Male_17072"	"Male_17087"	"Male_17115"	"Male_17162"	"Male_17167"	"Male_17175"	"Male_17193"	"Male_17264"	"Male_17333"	"Male_17369"	"Male_17372"	"Male_17475"	"Male_17521"	"Male_17629"	"Male_17671"	"Male_17701"	"Male_17754"	"Male_17922"	"Male_17932"	"Male_18055"	"Male_18134"	"Male_18153"	"Male_18208"	"Male_18249"	"Male_18382"	"Male_18528"	"Male_18529"	"Male_18540"	"Male_18596"	"Male_18653"	"Male_18666"	"Male_18856"	"Male_1117"	"Male_11511"	"Male_11834"	"Male_11844"	"Male_11885"	"Male_11892"	"Male_11900"	"Male_11921"	"Male_11928"	"Male_11952"	"Male_11971"	"Male_12134"	"Male_12152"	"Male_12680"	"Male_13144"
"M1"	7.43140510029729	7.30128446262727	7.57715496650474	7.67840456619799	7.51691805258408	7.73384023229928	7.62197589069577	7.88735540456914	7.38077224850992	7.38273209583466	7.51007874382086	7.52752448877947	7.77203906213422	7.58996719925575	7.50219017340006	7.84502793438803	7.42582172921907	7.47641939228645	7.70934294645317	7.78196583387573	7.70914548447936	7.48345989301036	7.69372745983702	7.91516157610528	7.33626315850064	7.74917382209195	7.78629638488875	7.55575719264057	7.24435449527265	7.80219666951301	7.63419048929022	7.60621487581754	7.76995018738271	7.61889576181707	7.73829360833494	7.72676214809683	7.73014219545346	7.68577547814974	7.75783259752126	7.71347764379462	7.76657312493491	7.68606198997008	7.69285270971656	7.68774709078537	7.31140870205555	7.37917453925802	7.3624012017743	7.33545490750499	7.35618963896019	7.47285687998706	7.4015093217164	7.51017160724654	7.37129275149867	7.46913572757616	7.620140304902	7.67124133455463	7.7368392899831	7.6315013992174	7.8011812227465	7.70926444667569	7.50235599119639	7.64712424526425	7.7804340376608	7.47168596160667	7.42115794830859	7.7183527002505	7.63517562710795	7.34634290754251	7.24047552371422	7.58055030130896	7.41066980427287	7.55286623527788	7.43328376360012	7.64503476626127	7.77580679838618	7.52799855220309	7.87829139158152	7.48099604752242	7.39171588701596	7.58715784659425	7.21408383175307	7.43570514448652	7.8717683559266	7.7273123425058	7.82147906942004	7.33467305247194	7.39137637517408	7.76601261623609	7.35804389666392	7.25842188384452	7.77081464398027	7.57754516134324	7.20255363921837	7.29688322226347	7.3395947867614	7.73102160503915	7.84528973721507	7.47254647812349	7.78328850840189	7.54960064723235	7.38731630541502	7.78067834682337	7.66877885881943	7.62584762283608	7.34917853617228	7.54558601386632	7.32759217536677	7.66290034100875	7.29936239844865	7.63416201451991	7.39459302788007	7.49992105386136	7.29161692334012	7.36749272244248	7.66717086973896	7.31638094551992	7.33403181652343	7.39466203101751	7.69339784224003
"M10"	9.58254767411355	9.60716852232498	9.5136471890237	9.47622569371648	9.24041382236397	9.4407601810273	9.23867294893495	9.21409656918547	9.33365581396086	9.48338828448004	9.93703463172344	9.44493130459911	9.36528279288723	9.3412946080706	10.0366282306149	9.34300787334243	9.50769865500446	9.65073908208756	9.18659309739036	9.85760105332038	9.33801221857505	9.31561097354406	9.34739509917427	9.22480016056001	9.29088161487841	9.33251262424439	9.35112644134572	9.47869980357324	9.37826079375154	9.3704217574149	9.416400647898	9.37380173551302	9.29001648703723	9.33479533459514	9.47103602834706	9.2944402982508	9.49856321389467	9.36863014333833	9.33929503979871	9.43762434687903	9.5135916152619	9.45622667127564	9.30551089233072	9.72131449795866	9.77096870110788	9.19935152403564	9.37929391481759	9.4562455563587	9.43971347853414	9.43545278103762	9.74515264904803	9.60158723299783	9.83650133354248	9.58794911599937	9.55281595702268	9.39521169822277	9.32512037446095	9.18845255745185	9.32429305486403	9.3484923231312	9.41619254539339	9.16767905862485	9.29245818673058	9.71130753996398	9.54751427203629	9.31795699372878	9.50994791403275	9.50751091653744	9.3921043182415	9.65113219757398	9.59590414172048	9.6206457764861	9.81673784716555	9.74953898309773	9.4296050073559	9.97954196125617	9.80236565930696	9.82837963320821	9.30156064711412	9.38238183715583	9.41793133737591	9.86773961792618	9.27577947722547	9.51716018135977	9.2832944588715	9.41828057675072	9.44923751184159	9.72664763647778	9.38381366007283	9.51172265718085	9.39708071741168	9.34495469519276	9.35861278821825	9.57210490163023	9.38500416870971	9.29567925959476	9.46765839589415	9.46694141386315	9.57374370922878	9.48026505362424	9.36413787722297	9.38042000180306	9.39521580557394	9.40083711497434	9.33718011106557	9.49856797615793	9.2908396808097	9.3264391369908	9.27059017551577	9.39487069996998	9.32739970347492	9.22725612215944	9.39642378211025	9.30946062577398	9.25807289080727	9.39871587450508	9.66342698369585	10.0551861611529	9.34740047333932
"M11"	9.42848700177013	9.65562938261377	9.34107412619619	9.42619310658823	9.38821520219168	9.21237986964116	9.26157266763379	9.25423658333893	9.45603043509551	9.48887830483513	9.81917527628267	9.45106520913456	9.19559230006316	9.46483056321753	9.80803141294501	9.28750057647672	9.46924345122032	9.70237903508411	9.216172685429	9.55393898750332	9.32607671109689	9.46390417299156	9.17937470620818	9.05419905503243	9.51706104516356	9.2914032638073	9.18037659453029	9.55175998436428	9.54078252681303	9.21478854719422	9.39853092916007	9.4067738455833	9.24613589484276	9.51283818553187	9.18920803443604	9.17933343740265	9.27846245980261	9.39069957150671	9.24232852140956	9.22561537638829	9.20673161976234	9.45479632840766	9.28819848765586	9.61521711141235	9.73298898777157	9.43402053089859	9.42253104457666	9.52647401137815	9.488267102774	9.4512401495167	9.5399596927526	9.55153181772484	9.70283838235211	9.53488273048893	9.50764997078935	9.21897907873034	9.21070459594606	9.19455523850022	9.1872863081942	9.1827072091333	9.51173016109815	9.21491170489781	9.24667558895275	9.61927307457532	9.51552421117291	9.2404408286197	9.36723516188923	9.51215882795828	9.47238216519358	9.53442658951495	9.6170112126328	9.53576659856626	9.81791470045648	9.55296333634251	9.33757925141045	9.84899166365475	9.47969451193199	9.80686530762564	9.47353319578142	9.54853385383312	9.51826206605423	9.85443278095216	9.17118870449977	9.35813802557352	9.19743783726492	9.53983481089486	9.53669929713555	9.51322665806634	9.61357974404257	9.66308753432182	9.14530406395037	9.23088436669707	9.56252355523369	9.53711391365295	9.56387207740135	9.17707605104687	9.34028350549063	9.40818435197117	9.41007205776712	9.45975705369971	9.52324874521267	9.20054187892146	9.27196197826935	9.42277180836126	9.48540132367724	9.45357159140912	9.54333832829674	9.47206473333854	9.49904704968061	9.44548852647256	9.43132039891383	9.45211564568824	9.50555872791933	9.41985680541942	9.27327713159991	9.47460148770455	9.66821780522337	9.81220295647142	9.19561077006035
"M12"	9.5311099263658	9.56334400194775	9.50163983816454	9.41981726876576	9.66500578868602	9.45652620531188	9.55689843897149	9.56053943351491	9.49581235422996	9.5980483232711	9.61264111160338	9.50657244373069	9.47560033384088	9.57438382056471	9.47302941469542	9.7113012896832	9.41478255984581	9.53581964587864	9.58167006895559	9.55311366574101	9.47355264567261	9.58963011210075	9.48180170491631	9.50715258844942	9.53082993373543	9.56841045609254	9.50807782979005	9.60416693407696	9.54535331474181	9.54706740068417	9.52250163747447	9.55382214899224	9.58281758756156	9.5604599394305	9.48011945026573	9.50102815574257	9.56346085473009	9.55710271496188	9.58021065173482	9.54498302100243	9.45052237802152	9.65853530316323	9.66388200637882	9.55545961875583	9.46572506700606	9.51716995360981	9.52906558074289	9.59727300417836	9.72701532637572	9.5110344575982	9.46171455170949	9.53772549021393	9.53713729207441	9.56911203649281	9.54877882883072	9.45157986320501	9.47930663373592	9.50354494025433	9.53087584861856	9.45313449452211	9.69711352054813	9.53581303959912	9.52328785235922	9.49454386820688	9.5772043852663	9.44471122711945	9.47968765233724	9.4466525850767	9.4729301783895	9.50193396694393	9.53500033512074	9.54682056555334	9.49225956269388	9.48919215424501	9.52242244385593	9.50545797798995	9.4205413524324	9.62357737019389	9.48278440423752	9.61576264929438	9.47375988667441	9.6004430211355	9.5471464919932	9.48148824414506	9.51437564369527	9.59649974924696	9.55451324854325	9.55109489392354	9.51789473032754	9.74398149846914	9.41648094828102	9.56177552209785	9.52328432572616	9.44018679877399	9.55592594480512	9.49219646061544	9.62534344815401	9.47438554265476	9.43731606792222	9.45507108396067	9.49223152350406	9.45549474861742	9.53639323188956	9.44348453726531	9.5060688157964	9.72261211417151	9.54688110887957	9.77087624254365	9.52450341186891	9.71905006160362	9.50233621992023	9.65426723875535	9.57562610638789	9.60450592707694	9.57862285545915	9.54884510260361	9.53094035095023	9.44785415879329	9.52316047959972
"M13"	8.49747555772561	8.21970711942994	8.67582613609294	8.68880926098883	8.91449270573067	9.14577916814174	8.64326935512183	8.81753104259207	8.14727154759675	8.61232000807341	8.41103958047983	8.43781744495294	8.84882149440335	8.64154628172978	8.5243629639566	8.70611884290975	8.55743660604019	8.20543748466258	8.63658260376395	8.2260208062275	8.65256984269616	8.38512114871896	8.61848958567063	9.27810679928109	7.96166590238201	8.5681568016333	8.9702490486889	8.74056908662059	8.17706806701964	9.02313758794918	9.00817400552624	8.47628457401134	8.7027924926575	8.3255344998809	9.18846483436797	8.74288006881289	8.79302767587322	8.56343916828908	9.01792034131587	8.94284650546991	9.01955975651575	8.70532574143328	8.61059706173705	8.60379304827068	8.13355088919221	8.16313060111806	8.66057541482047	8.51101236768713	8.93895635194636	8.4913158278862	8.45349935870729	8.26276512116172	8.23957255918943	8.43689637879382	8.34119693649248	8.77896942908717	8.96795856753921	8.59493134496788	9.04548072381178	9.1588179211371	8.75202250947113	8.73941675813324	8.90531875205278	8.15996189984869	8.43049591081863	8.68530662920887	8.74770875140733	8.33498483781879	8.32318395305966	8.35255342260682	8.453021489687	8.43888028778565	8.09206057069545	8.36409511085476	8.3264317369958	8.03769121379015	8.75739349302015	8.32633927923188	8.26458875991414	8.48718461845632	8.37292577651173	8.14664377900312	9.01623105166674	8.63695344833565	8.91530902381635	8.42270776362747	8.4425035050803	8.44715074854207	7.73914816051134	8.24142786907115	8.76522252565888	8.47567678687429	8.02884167588375	8.49345051533092	8.16133944489925	8.91184448375683	8.809775668892	8.4126517220083	8.48646337771513	8.32162054836125	8.15735655285614	8.85327728717802	8.55338259660705	8.52467922271758	8.19486091560533	9.11973478920743	8.22829199236728	9.10010482907987	8.15075703553521	8.92046129302474	8.44623060189969	8.58100220262095	8.43352587825539	8.63553361277302	8.9435224320044	8.5932545163614	8.17711387362685	8.32023039767781	8.79563257988655
"M14"	8.83455356007514	8.84303631955294	8.83212713054942	8.84317911593069	9.17391707211046	9.02885372886566	8.84103069373839	8.68553344573839	8.66700248235902	9.05014249518446	9.17518816313598	8.85644361577378	8.74259191113839	8.92457500236415	9.1670525334088	8.58350382470248	8.9003391472766	8.6997736027271	8.48124294094335	8.50593121125486	8.7117249331554	8.69946709298653	8.5480023056315	8.72150337226492	8.43038037107331	8.62336444302515	8.71983870325453	8.99354432340943	8.65211294905258	8.84693851888304	9.19365662235159	8.71378592444421	8.50432482669253	8.70211938076069	8.90599006735194	8.64119045821492	9.07861320834181	8.7713640665416	8.88053701932187	8.87654679691568	8.92366312154384	8.86594404793293	8.59028652051838	8.97209056155738	8.84714380918708	8.66923078443524	9.03341768687678	9.08425414120317	9.29394667712434	8.81021344815738	8.83447258729346	8.76489114482264	8.74705632119056	8.84968195821787	8.61934800284635	8.81097729829708	8.95588168425354	8.60774920864923	8.96604665275804	9.03389901526891	9.17612065241567	8.73737007765339	8.7654083616036	8.60671473000959	8.8022101830289	8.73364423518432	8.83789824425036	8.83771511725623	8.86711531682815	8.69860830223043	9.0403812875598	8.86644810771428	8.83224037012219	8.7404231562191	8.49984100573312	8.76656105852152	8.88988316714979	8.94088117057333	8.70345566092442	8.8885982329425	8.82243824716172	8.91744158640669	8.75620210191482	8.7472531296132	8.69598635636996	8.83851603674929	8.86237517111526	8.7745494309614	8.41870990092958	8.81530839877462	8.54079424237996	8.60553162119139	8.52480929012228	9.02628275434058	8.63536471389796	8.75313065978513	8.77767599387569	8.77001681382897	8.80384074925465	8.55700141188269	8.67024800207048	8.69474718873016	8.61349262895893	8.69583205094566	8.62138040595038	9.33605055033824	8.76848730405248	9.230783852026	8.80127382142594	9.09422383815847	8.78816191928664	8.90453843779086	8.87840190852292	8.96145811720884	8.91763916044477	9.08227619144676	8.90079546198662	8.88989991570547	8.69233194155782
"M15"	9.14009182843813	8.90081367282819	9.03207081426958	8.99972579096986	9.05955467056088	9.28989445761196	8.90196978779717	9.03132171176918	8.64333705106397	9.10980024398894	9.21744605197615	8.92109585878894	9.06157454513419	9.02832714088282	9.3637420193472	8.97196252307609	8.94734272302167	8.80302754659325	8.81716549982985	8.95972533783446	8.92032957853243	8.80177554880892	8.80167380914906	9.19480536383927	8.44569125686556	8.87698287320322	9.14077023612381	9.20041884192503	8.71878952423965	9.22012203524803	9.26088395203768	8.83373375139325	8.94798377115775	8.72417442962879	9.34175616049857	8.9363774533538	9.17197806526514	8.92541565172124	9.20072418437828	9.18015594133765	9.3076920554258	9.02635825372081	8.92717620779025	9.19584541505612	8.88845966338817	8.55701611961763	9.0309716234701	8.96333770213314	9.24486363065897	8.88022595194806	9.12215745854299	8.91685617447455	9.00952217103721	9.03070194703495	8.93022499862061	8.98736305504735	9.11906945051641	8.76860180994133	9.19858237239207	9.25870676190062	9.10915774488099	8.85992977422499	9.04961342409011	8.79813670746605	8.93209304691799	8.90433887095772	9.14991572301074	8.75628758516038	8.7447999204274	8.85242674778314	8.97957918406533	8.97693522277869	8.85761223727891	8.98028157780494	8.86752349923687	9.00350895692652	9.26243911140907	9.05802720224727	8.69409003606863	8.91643564509245	8.86421525142483	8.99975573978676	9.11771412550506	8.99148649799298	9.08148675290225	8.83106723880736	8.94677881124068	9.11796681979665	8.34017952960323	8.79350953814867	8.97606101122945	8.88543415871489	8.52572742351681	8.98428528794113	8.67805177764902	9.05580878893782	9.14254267814573	8.77281108791528	8.95334898588959	8.71679411693835	8.59734296585504	9.04205309182892	8.86750141335627	8.83388660661836	8.60327794631915	9.32866968881453	8.6122004168908	9.24992037341159	8.57699291390412	9.12771553157395	8.78501473717279	8.98082196909444	8.85299064664866	8.95931529163978	9.10394438338733	9.01376631711648	8.94677722993737	9.02150201185459	8.9543027164399
"M16"	9.24160482703573	9.12866598209409	9.23613189174801	9.20320575940034	9.53268174897541	9.38187767099308	9.53742612594172	9.60246948038971	9.23828597904395	9.34341619248862	9.2172801642011	9.26429935713648	9.43793134019031	9.47639936993638	9.03613812596499	9.72879954626227	9.04957442120063	9.16312463593094	9.59982210519627	9.32471165638945	9.3023620333808	9.4384226963088	9.19635087982614	9.51960725039482	9.15145946804031	9.53768907018757	9.42616195132143	9.46382988133331	9.16334693956241	9.47743271702346	9.40643525531902	9.3822450613295	9.57933149079474	9.31723764674631	9.37463366250177	9.41005778938666	9.39036201618971	9.37208393828684	9.55063881204098	9.44883494749281	9.32372381968106	9.51735069140848	9.65768110211078	9.21867076755803	8.93521532101076	9.33009104196013	9.27990252671955	9.30671734220293	9.54355960610343	9.1982307670754	8.98795147830374	9.20821810160253	9.00419307443142	9.28527045569751	9.26720429908789	9.30372558802563	9.44012028244739	9.44118293130548	9.55902918731119	9.37722472252625	9.57240672077801	9.50753343724513	9.46808200894848	9.18341478191299	9.22531428369629	9.38003246327978	9.2964479743215	9.0503347344934	9.10106851919362	9.09511691360629	9.16561732008162	9.2536184033662	8.98986787617857	9.10759818559101	9.39076427436573	9.04198826205732	9.11220703389603	9.17035596505379	9.1435828493099	9.51619414630037	9.06490463299742	9.14585178532324	9.6224389614046	9.21924741398134	9.51485767828801	9.26637385327701	9.29075921436076	9.34880968493136	9.11442752272928	9.47863571012042	9.26195670908103	9.44018881895701	9.09369222937213	9.007705612397	9.22382640255575	9.44670294121044	9.55433449737433	9.12176455013412	9.17563680472903	9.10300831303991	9.12739412102986	9.32811977121156	9.34565751744831	9.18447915610047	9.25531697011762	9.60950164710696	9.1962858487796	9.73638852843428	9.20320269012503	9.60836902696396	9.2073856314722	9.58389205455591	9.2216737409676	9.47864879814663	9.61784487111876	9.28146357015947	9.05299251586594	8.74007418117687	9.38742107108323
"M17"	8.5106836621424	8.52942867635415	8.47045541895602	8.40194028486674	8.44844618774944	8.384579287535	8.45822087724392	8.53599239029536	8.54351053571005	8.48372469583781	8.58691324225735	8.47947122690305	8.4264153811801	8.42941471799793	8.51008726564645	8.54506160229437	8.40587783311992	8.5021711328749	8.49686260014736	8.60210183406268	8.45595089815297	8.48499414282478	8.4574631018901	8.3935582928356	8.4866090678845	8.47915831356842	8.43776114505619	8.44092574599153	8.49868585982011	8.45924459761971	8.40430535994625	8.4368878978697	8.4614030376145	8.47990789646107	8.40206451953473	8.43920584351978	8.49264116117223	8.52926699701047	8.46373541364591	8.42229567037858	8.42401192583058	8.4664136787138	8.51104484329876	8.50797349831339	8.49688380485874	8.50473357356769	8.4145172214197	8.38469923869007	8.44902364543476	8.44127304392467	8.52022572087423	8.55469614264672	8.58854606235761	8.5593696385875	8.56025100025086	8.41234124160896	8.38319594680321	8.47102995078018	8.43039586984558	8.41664767637848	8.4313836620108	8.4599769120064	8.41626647211779	8.56973310330418	8.46509606854593	8.39524257666306	8.48766551002333	8.4357288651881	8.42107644770543	8.36414336771893	8.52719126060978	8.42400134446764	8.51992678854747	8.52065942678243	8.58848947349672	8.54293257796203	8.45948809964479	8.58590600131535	8.45344255809285	8.4806224807542	8.44513835139169	8.574141514364	8.46359461696538	8.52852652232863	8.49306977487914	8.45462676089776	8.42346088519192	8.62097333969627	8.50240800951333	8.52668386983394	8.40084517732318	8.51068072805583	8.46017560707991	8.4141882040072	8.44209269437957	8.4433836975824	8.50870883894648	8.41501028090919	8.55026938729585	8.45203253310223	8.48631646218717	8.42707022568111	8.44804769014338	8.44129524213296	8.44021723907597	8.45948367630085	8.43160520357138	8.48173941299341	8.4615836798314	8.45984444729323	8.43053365406362	8.54524107470228	8.43077088612027	8.45030309301705	8.46134779623311	8.44856395745582	8.49091178590446	8.46896164974598	8.47664419723225
"M18"	9.97451221541435	9.96487985944554	10.3000335990957	10.1146485764272	10.147087539461	10.1273129163668	9.50585969459554	9.38185769794862	9.46613191546634	10.0486466465039	10.3125667074136	9.93393223044517	9.82279110680243	9.8481568552706	10.5214004190981	9.54888249657633	10.3937218973419	10.1353340733557	9.40984126236661	9.57850987071659	9.85807006785896	9.75491765538438	9.90811569362434	9.96658362762716	9.63917564442163	9.59089547649374	9.93452285823964	10.0930269525456	9.90647170212389	9.90113953000504	10.1438867852343	9.73009844431931	9.5956654401254	9.6889010185557	10.2321848013031	9.7839725382014	9.89462250939461	9.73981991841355	9.84680799522856	9.91019882545638	10.2059928550792	9.88954454740719	9.5332720499433	10.1751580337119	10.2454034836819	9.36262294551059	10.0887534798307	10.1151654496945	10.2014858050208	10.064471809022	10.3668924698794	9.75745750985867	10.1330882198145	9.92167552252433	9.68125650687125	10.0438554213851	9.92210710297029	9.46537046956431	9.82783172890931	10.1318507227393	10.0114325759338	9.61698779559907	9.84375303166165	9.803002057561	10.0889314063792	9.853408258755	10.0123034155775	10.1768172181117	10.064886976397	10.1885465010754	10.2095259363298	10.1358496216769	10.1368285798526	9.91639346434865	9.19060943202703	10.0081862751173	10.1719206658899	10.2361633413763	9.77730394884669	9.77126426765252	10.1324596765205	10.1175732050068	9.6498727058767	9.95288490270537	9.75937904279353	10.0061520192656	10.0801509668712	9.594363702233	9.58057137379922	9.97468881729738	9.82378855545056	9.65636681175604	9.76732460797359	10.5062162790897	9.84143768522851	9.86578101002084	9.87335301821891	10.0893077258018	9.95353895774323	9.97941929306652	9.82884678285775	10.0141949093754	9.89007669972677	10.0459056197173	9.70055549412167	10.2930439180607	9.7236625404699	10.0245006829582	9.66432816841359	10.1437168768921	9.90646362147043	9.62278434317686	10.0824252234718	9.84735635326295	9.67017182483871	10.1136182217294	10.0203589381231	10.8909167703666	9.8232209666943
