"modules"	"Female_12545"	"Female_12994"	"Female_15240"	"Female_15296"	"Female_15533"	"Female_15768"	"Female_16286"	"Female_16548"	"Female_16840"	"Female_17068"	"Female_17081"	"Female_17109"	"Female_17111"	"Female_17130"	"Female_17160"	"Female_17221"	"Female_17229"	"Female_17486"	"Female_17543"	"Female_17666"	"Female_17753"	"Female_17812"	"Female_17835"	"Female_17921"	"Female_17923"	"Female_18015"	"Female_18139"	"Female_18241"	"Female_18266"	"Female_18282"	"Female_18294"	"Female_18349"	"Female_18355"	"Female_18372"	"Female_18559"	"Female_18611"	"Female_18655"	"Female_18687"	"Female_18694"	"Female_18983"	"Female_19031"	"Female_19043"	"Female_19052"	"Female_11396"	"Female_11654"	"Female_11907"	"Female_12116"	"Female_12153"	"Female_12972"	"Female_13117"	"Male_11875"	"Male_12107"	"Male_12546"	"Male_12993"	"Male_13142"	"Male_15329"	"Male_15468"	"Male_15655"	"Male_16117"	"Male_16483"	"Male_16488"	"Male_16640"	"Male_16649"	"Male_16810"	"Male_16826"	"Male_16859"	"Male_16929"	"Male_17013"	"Male_17049"	"Male_17053"	"Male_17054"	"Male_17071"	"Male_17072"	"Male_17087"	"Male_17115"	"Male_17162"	"Male_17167"	"Male_17175"	"Male_17193"	"Male_17264"	"Male_17333"	"Male_17369"	"Male_17372"	"Male_17475"	"Male_17521"	"Male_17629"	"Male_17671"	"Male_17701"	"Male_17754"	"Male_17922"	"Male_17932"	"Male_18055"	"Male_18134"	"Male_18153"	"Male_18208"	"Male_18249"	"Male_18382"	"Male_18528"	"Male_18529"	"Male_18540"	"Male_18596"	"Male_18653"	"Male_18666"	"Male_18856"	"Male_1117"	"Male_11511"	"Male_11834"	"Male_11844"	"Male_11885"	"Male_11892"	"Male_11900"	"Male_11921"	"Male_11928"	"Male_11952"	"Male_11971"	"Male_12134"	"Male_12152"	"Male_12680"	"Male_13144"
"M1"	6.88769140262818	6.6990726121657	7.0914928600241	7.25992751802879	7.01844964429537	7.33525869840222	7.18594168511073	7.5496283107879	6.83312663281805	6.77176432086043	6.9775663806887	7.02842047184433	7.42596229941622	7.05734104725467	6.93095152473908	7.49215852947041	6.8860247901617	6.86009870360348	7.32810174032316	7.33962283662414	7.28248734815624	6.93045548026443	7.3516701064971	7.62876082951481	6.73658866657158	7.36576727825395	7.41803473009989	7.01307117573431	6.61945243225245	7.47611587382564	7.14477910677858	7.15119725915096	7.37765427308821	7.15022405145765	7.38764424126166	7.34302021024198	7.41109407744596	7.25179005937188	7.3872640357638	7.33346335054399	7.38283749082401	7.21506156163131	7.26012733928106	7.19269679610734	6.72025238782494	6.81478092823326	6.77509106969877	6.71514224061544	6.74781961847023	6.95689122576989	6.85411179317564	7.00468166782751	6.82794034798437	6.88435890741265	7.16920926894031	7.24151096796325	7.42522006072279	7.2199803514263	7.4779955401947	7.41430988679573	6.95516378738686	7.23413437965828	7.47529571902425	6.95429445092974	6.79685646992961	7.38329483942695	7.20424707343174	6.79184349786872	6.61605981912833	7.0590319533219	6.81763570623326	7.05360101215419	6.87515575398389	7.24893197940786	7.41326666664536	6.93272483314827	7.60592192405037	6.87565606587501	6.8831637930822	7.06758160378799	6.60280782041989	6.77375149849193	7.53997676143243	7.32583966081681	7.46381334914204	6.73381152430984	6.85069935406995	7.3807754740445	6.80601889246288	6.58184723723055	7.4480021302647	7.11859363651436	6.58043917927744	6.68146609366777	6.75830148284042	7.41322203631335	7.51846155143287	6.94829528314361	7.42965330096376	7.07097480928347	6.87481795655077	7.45194718770949	7.26110405840964	7.17586303006212	6.76723985500997	7.01665211854168	6.74719555785254	7.18787271284023	6.70272238364264	7.12443852508357	6.82185619888033	6.93945638984919	6.68675813963972	6.75641101877049	7.2214959173003	6.71512107238154	6.72980438402353	6.78410298364517	7.30672348754181
"M10"	10.0824372404972	10.0988709045239	10.0940423422017	9.97093450609711	9.93041856520642	9.99655804435775	9.742859661337	9.80560610758136	9.83070412764702	10.0506880585132	10.2779352562393	9.99644832440811	9.9278433393758	9.87626583257181	10.5656331214297	9.94310346645182	10.051946924099	10.208729572483	9.65236319422271	10.1915978992476	9.85784348429005	9.83210355258112	9.91386803662085	9.84593905229133	9.75236687053197	9.92952162007003	9.95679308528373	10.0772808112575	9.87068278148661	9.92816551335449	10.0906739055879	9.92178242590043	9.83416867340725	9.82113005358102	10.0408861794852	9.81665756622645	9.99532051952893	9.86636799192337	9.91105354499595	9.95103535034129	10.0616154556256	10.0150872071953	9.84180748544548	10.1932895104	10.1231898370519	9.65161923781256	9.94197900584199	10.0019393368291	10.0402209709639	9.9762345520712	10.289270645238	10.1770356163002	10.1416301386978	10.0897601420872	10.0639162935746	9.92527065330921	9.86354354546923	9.67680217979724	9.90181027812885	9.92653979534063	10.001462574992	9.71465735516465	9.85920811699551	10.1846878463534	10.1045273153028	9.89008905059585	10.0360286316462	10.0263570179192	9.91357925247726	10.1355162724021	10.124685413569	10.1503284422539	10.2487487869422	10.1618530722421	9.89273150670706	10.256160850976	10.3233429980692	10.269172469607	9.80643375852026	9.88680191470898	9.96258156972652	10.2842391853745	9.8399735492384	10.0149733630759	9.83324862393409	9.95656408846092	9.98421429980765	10.2225749333306	9.81271067878679	10.0273787522486	9.89731252907338	9.86364354862568	9.83233970318499	10.127826829181	9.87367327564833	9.90288367030119	10.084213039865	9.99605014634298	10.0955356913824	9.99215612167199	9.83817471767234	9.9474448369247	9.89380716286074	9.93121232740011	9.77861029477889	10.1288870558227	9.77207258458233	9.95286928826983	9.75891235399063	10.0136581464918	9.87666685060015	9.78425084272245	9.90833700794241	9.8492295831128	9.84678258099632	9.99779400669565	10.1099995796223	10.4926610873369	9.87009129509537
"M11"	9.94717671225609	10.4070816906059	9.82637704732949	9.95522979658607	9.99309127830027	9.51564164006364	9.75763882003358	9.66612334228882	9.96219951085124	9.99489086766624	10.6516370302838	9.99722411785647	9.65005600805882	10.064624784952	10.5784369664615	9.84737542855078	10.0195181914779	10.5024961310768	9.68536318123975	10.0878008529119	9.77210546495411	10.0383956263215	9.61394713260019	9.51057834867455	10.1269519236486	9.7099112106105	9.59807350278582	10.17346950649	10.0758299729563	9.62724173201791	9.92333642290016	9.93398870969485	9.66928920010404	9.99984204146203	9.5414500113185	9.61729355882462	9.70356445346576	9.90649457798578	9.76295856403084	9.62364651991405	9.61386389042657	10.0335768194105	9.71616990404611	10.3036377221993	10.4759967018594	9.91579811846151	9.97555089037202	10.237449901566	10.0786603938175	10.0288165471246	10.0677052643858	10.1063845802282	10.3549896739794	10.06774727258	10.0119074655921	9.68921958319436	9.64658452494174	9.65515909730574	9.6320785961687	9.4855533257719	10.2186179543952	9.6295142666617	9.71549145400171	10.2743923193879	10.0427964546089	9.72778492401957	9.83198443668431	10.1840016272553	10.0102387536385	10.202427186021	10.3720376967015	10.169734094815	10.5975100519294	10.1722793525467	9.91302460167411	10.5930384516221	10.0482521815489	10.5579893613355	10.1269732596497	10.1311249600274	10.0903512425906	10.6653740326702	9.6016498128894	9.91701510395096	9.64380712916124	10.1644415495023	10.1714321641164	10.0567199441203	10.2931777436648	10.4185952853271	9.63021177031869	9.63787558714447	10.2243938310391	10.1126886148312	10.2002598297372	9.56350334567535	9.82279358848779	9.97615305251577	10.0224391827277	10.0583005562336	10.1309958114059	9.62857147481267	9.66258118949268	9.98665304152064	9.94967030692042	9.94206620606115	10.2328799050267	10.033277402829	10.1433220682923	10.0425667488219	9.88199179233946	9.92249847874781	10.0648172474482	9.94348568632357	9.77611999301064	10.1024917299157	10.4549700139297	10.5355401074541	9.61632456641403
"M12"	9.94601147078813	10.0566457218648	9.75586148470968	9.79467700373674	10.2001266450542	9.83897368806102	9.93981935797811	10.0808838993437	9.92942424090111	10.0804580545735	10.1623830393789	10.0075273431481	9.84903364290575	10.1289342445414	9.79316515506637	10.1540045752979	9.7553107739235	9.92943944679254	10.0506119201503	9.99892311502279	9.80908020403317	10.1003920125703	9.80307185830928	9.839186434372	9.93226601954624	9.97848942109868	9.86093116148491	10.1569584405914	9.94692637667526	10.0021043348755	9.98921233882491	9.96569201851969	9.98546383425722	10.0547361567553	9.80830859560644	9.89659144356625	10.0440387425139	9.96520767019532	10.0332900424317	9.92932122368549	9.79016606617562	10.185427164915	10.1412984468215	10.0311659204192	9.89139015825014	9.96786589371916	10.010684907881	10.1460589407277	10.2562425968613	9.95483388995821	9.7885835624104	9.96725939240444	9.88966305619638	9.99201224169505	10.0115513963108	9.75993603737691	9.87073563340606	9.85491708367351	9.88904499249768	9.84927460606185	10.2545619310232	9.9739056099592	10.0240469843037	9.92158407330175	10.0026933109674	9.81793942348273	9.94096761132418	9.82090503755356	9.8578796854422	9.91205606356366	9.98265696098183	9.99432994461282	9.9300734987962	9.8604250851414	9.8912972142609	9.98646797331018	9.73134626061469	10.0009241407402	9.9338674457432	10.1319763686798	9.86546093235144	10.0797220049742	9.93379442618435	9.83264581761528	9.90568977778992	10.0938488234819	10.0021410475338	9.99996968521489	9.98512601797003	10.298571612452	9.75560805416827	9.96583295480614	9.97478651482433	9.73387767591242	10.0176471157897	9.91134666705872	10.0617742985279	9.77274933866618	9.8256933489489	9.77533763610255	9.91246337077511	9.80535702221377	9.90756467981456	9.81905366687215	9.84248956674654	10.256674527694	10.003101481936	10.4374085281484	9.92197726737344	10.2539819691423	9.85308065149467	10.2175089570119	10.0242898755093	10.0828952367888	10.1146847554468	10.0585250867197	10.0217624615757	9.68641364519513	9.83899821771291
"M13"	8.50595349568107	8.09797269159888	8.72094304096425	8.71253822508944	9.0690638787629	9.25678337340764	8.69886171037604	8.90658609058319	8.0845108763959	8.74778037557951	8.43236121596569	8.39195674915647	8.97440427337611	8.61394798765448	8.6658236284718	8.80006930998269	8.65665518676125	8.08360553673891	8.72857831795893	8.11361504237413	8.66372166572921	8.27675815135868	8.65031583219581	9.48931330226866	7.8474363906162	8.54162843231583	9.14276691037881	8.77853074727404	8.0951173804608	9.17078867363815	9.10351969717047	8.47465532863705	8.70575488353465	8.3494130208365	9.4365328790913	8.77432254055918	8.92349672203073	8.55872027688681	9.16474197104248	9.0325583876819	9.12621743252926	8.76882231362146	8.68164877193479	8.61710138482712	8.08945824330276	8.07916949617951	8.77666165022813	8.57463650816594	9.0966318408239	8.52806724154065	8.48863642123782	8.22641460970354	8.1629963713889	8.37930315479193	8.29291842659181	8.86577663097101	9.10690063284967	8.75956661120684	9.17428910655022	9.37022099222635	8.85472903531076	8.75503514388225	9.0032930943018	7.96834779310162	8.40325810166654	8.76777786947322	8.79377433183484	8.27134175956757	8.3616696047622	8.27901445741485	8.47598594621656	8.36124754245283	7.97572935795874	8.24454858550896	8.26399097777301	7.88097091317981	8.80852196069629	8.26958161793905	8.21847590066533	8.51081607064858	8.35123539295116	8.02418567777083	9.19496905900166	8.71257376834518	9.0132323311635	8.401218559406	8.47393288130737	8.44873054005913	7.49175936299279	8.15036693517818	8.9182676114244	8.40276073696334	7.94006116578356	8.65676367580804	8.10431112439047	9.04016128573312	8.88056497625015	8.46811894207885	8.56107897394551	8.3403822138166	8.02865915761146	8.98686047881279	8.50629474900771	8.60829678209377	8.0961084760686	9.35287476839461	8.151562814759	9.35735602666128	8.11211291535605	9.15481757499224	8.44466194664392	8.5670049238736	8.50857160021382	8.71738992882427	9.00873363222018	8.74227345384152	8.08475627249847	8.25275928175726	8.84886541762023
"M14"	9.08737705884166	9.07829426927255	9.14214941250952	9.09737613421477	9.64999814070329	9.32118165374947	9.12317946070416	8.89732695505496	8.822731692127	9.34758600200181	9.66175285707212	9.08097144120282	8.97392227840403	9.2283356412361	9.6042169438489	8.83786957834146	9.15333735261588	8.90227115597542	8.59755055716096	8.67384480181466	8.91563752088109	8.89945342999982	8.65078827740267	8.97243648814847	8.50852232460336	8.85203719860408	8.89363975464589	9.26757931049067	8.85420350430219	9.07747080799964	9.65898063012423	8.90903959961378	8.65400679756381	8.90185891602795	9.11022535463636	8.83456401088079	9.38115523497845	8.96108492208114	9.16273310027476	9.15953015972536	9.18653492945595	9.18439513170833	8.80299626838308	9.31857437559792	9.08134125705967	8.8372436750793	9.35910087671753	9.47098620821992	9.8597311881116	8.99870374302834	8.96967982612466	8.94092397436734	8.93142732179443	9.02886564158555	8.75992622897008	9.06370678501861	9.25564551862793	8.75667853098594	9.24488498305252	9.38059089162034	9.61767522180659	8.97718095646338	9.00912514508999	8.71543309416529	9.01011664537148	8.91971697073879	9.08189125587874	9.04363074137583	9.0994272413441	8.96085666532523	9.3285638647324	9.15621546415293	9.06530271226809	9.01193572828157	8.678607835349	8.94967974520841	9.18056483052429	9.20357151982838	8.86105520143251	9.14434562921842	9.09287400399987	9.25352762096959	8.95954527377614	8.99215894703525	8.87162623521328	9.14250807125702	9.10252971740054	8.94048087506286	8.51224252722507	9.0752576928898	8.70866728795625	8.75631767015091	8.67623735540183	9.37388939273913	8.78771443107237	9.00014339541302	8.98390347414542	8.96514367091306	8.93733442721015	8.68573128693239	8.87712191074418	8.90845188489914	8.74582065334639	8.93948974928561	8.79633094068039	9.96172967143554	9.05243797772258	9.73775494281393	8.99903209749128	9.54717356998951	9.04945591108245	9.10625851846051	9.11071448284497	9.30890638486764	9.17096282572754	9.45708937979239	9.23826717976042	9.18614087160575	8.87513318209143
"M15"	9.1751278077748	9.04701750569062	9.00873412452403	9.10670981033678	9.21071522159816	9.51663965215195	9.00070084239185	9.19557967022426	8.67802244897115	9.17112102589225	9.40040358750696	8.96781764659806	9.16788680627374	9.02688957986824	9.59608786774927	9.0723835792564	8.96658425894165	8.72944186213667	8.94323212139333	9.07561328218493	8.93743297515351	8.78519135389383	8.87658458889354	9.32565644999434	8.43551281123504	8.92405339550683	9.25425290589541	9.243810895722	8.66836543091069	9.23473867081497	9.47172057362581	8.84694645026324	9.05125187295757	8.76540649669617	9.45855205119285	8.98163515806541	9.23063969567934	9.0192232748026	9.32482536998675	9.35902585938201	9.34883937129167	9.20593385764962	8.86981671903647	9.27207918459633	8.97050357085852	8.53141710355012	9.14470496929495	9.13941838325743	9.43272205025146	8.90632604318264	9.19335341920691	9.0456156109212	9.04111426722797	9.12272392501022	9.0700333264004	9.1879256737935	9.35264918910091	8.92335922389744	9.34208744260455	9.36815723241271	9.24049554139743	8.92203770941705	9.12383628652077	8.7778426110193	8.94828265662372	8.98880381006965	9.18085373102656	8.88513247450198	8.73262307334542	8.81747842297236	9.02035801708593	9.10746656846582	8.83974648461246	9.09529181498842	9.10849404797426	9.05005733536255	9.40959866322339	9.09418388705422	8.71247244810908	9.10277314554601	8.90333844677728	9.03379364291719	9.2304780771229	8.9954926689709	9.14827361447348	8.88339152012506	8.97019659282294	9.29537406168675	8.25917367685498	8.82604159457089	9.05537307637696	8.87235280993119	8.65415672497242	9.06142916371414	8.66379324775306	9.16257661312327	9.19460996114874	8.84479063164094	9.09406293433622	8.78389396448857	8.62915997090283	9.11075191618979	8.79611484853604	8.79872902327621	8.61260235690228	9.41854034407515	8.64505514452313	9.36783281480112	8.69455129772237	9.26979886835985	8.87516966896413	9.01434670105321	8.90806614423704	8.97063741681914	9.13660314578299	9.06095025558565	9.08470218856689	9.04168765753903	9.04675405517275
"M16"	9.30951600178094	9.39489222544845	9.54303358011104	9.51479395419843	9.94066358418063	9.72831188673667	9.88116864679864	9.97192488019286	9.51619667282905	9.73447900830686	9.41955104913213	9.54492851847832	9.83298919243029	9.81033381554196	9.25826900286572	9.97335179652691	9.34545614277823	9.37818148554966	9.93178540889179	9.4044256124091	9.58324475616433	9.9173645082643	9.42564550621742	9.82015538308964	9.47544598897321	9.77487256154823	9.81177666789925	9.84626150190767	9.34692733352864	9.86392846946723	9.888980456239	9.65900108825127	9.88897185250359	9.56370449392763	9.7255621882561	9.7052273885652	9.55430061813137	9.63801025123877	9.91205967421626	9.72325769845922	9.7108656623387	9.97992527713942	9.97105231991465	9.42760541636604	9.29572652857152	9.6477277954556	9.63847259298768	9.7090240331066	9.92294878172219	9.54493991094533	9.23402402070491	9.45429941749118	9.2820791960932	9.47728103516998	9.41132237520084	9.59998744395651	9.79942146356189	9.82632213140042	9.92350911829188	9.69395818651698	9.84027648258629	9.81534565414292	9.85180224974859	9.36118411852918	9.59507934292163	9.69745943649193	9.45561233986499	9.40907244687553	9.32522837157347	9.29715276127722	9.37009523780887	9.59333745937143	9.17857815620412	9.31092077573299	9.69076496344129	9.21339987743609	9.25118065216482	9.4158016532799	9.42727902303	9.78128818123527	9.3608435372967	9.36101210158923	9.99975804964227	9.44995951017656	9.84522077729867	9.58109207281665	9.64251058070985	9.64520231162076	9.33262988738612	9.75768078794216	9.57267490297111	9.85296028171876	9.36342856813901	9.27340050123617	9.47937355849838	9.77906941971682	9.80900941873126	9.38640159397731	9.45023304245994	9.40526580917365	9.52215909493749	9.66342371238936	9.60812043320309	9.44082465656378	9.49687266797259	9.86789215149748	9.45553976907186	10.2247876923701	9.4707192228363	9.94258242924432	9.43768691209471	9.96062138005083	9.48734333587885	9.86248008409519	9.92761192393055	9.6124457830507	9.29310257914657	8.77660353445204	9.65600227109517
"M17"	8.21331449049134	8.22385566943145	8.27070489083987	8.06230762938003	8.32795064448246	8.06746045002923	8.21044927915274	8.23657610664124	8.14568025785879	8.09921881326401	8.52814850197188	8.25865711536974	8.07287834744237	8.35647795069729	8.22581508697569	8.50225578236563	8.11913139489708	8.30116732509919	8.27822934356435	8.15623697713717	8.05615240790569	8.28284706859265	8.25401716911636	8.07960215230779	8.11394949590951	8.22740571827771	8.19767178444133	8.04656245542235	8.13346538791765	8.25862271360156	8.0776996112493	8.12699909387738	8.25205236557722	8.19230412648684	8.13480464116391	8.04191057765534	8.3267957538071	8.33961960216039	8.22846142052526	8.10049217271965	8.23470096893479	8.21129865552865	8.10646501867148	8.25357364942644	8.13150857601727	8.1566898785866	8.05524766653562	8.1581370502151	8.15558325243074	8.28142946827819	8.2598022603989	8.21494900410458	8.24448752301188	8.29538207935924	8.33229764735064	8.05264752317629	8.12963437074442	8.1500013461177	8.07876981041315	8.21596328708013	8.35728287982152	8.16831187576632	8.21628788142521	8.12477780780265	8.14123793122002	8.1640907349514	8.14192511966212	8.14074096015542	8.09106360983276	8.05595324594601	8.12491093949555	8.08860525179652	8.20230103414282	8.17109504413187	8.04682821168608	8.20745674418033	8.16656555503397	8.18663348820311	8.05278732074697	8.04636940933553	8.2653496778158	8.30127855598504	8.24622362351942	8.06580325876177	8.17854072258706	8.04222975051838	8.08858245393283	8.23291816199628	8.38151820898111	8.27331702420035	8.07230120057502	8.20544048595379	8.27588413555008	8.22082804497616	8.18315162009204	8.21303467223366	8.31358224113053	7.96260546398437	8.23367310732904	8.11129843263324	8.35915800629658	8.20283943159369	8.16251142610509	8.12951502094451	8.08469625549326	8.08255412412975	8.25721823664614	8.3729665711695	8.12868660041832	8.23662128423964	8.02806428381069	8.17995625173416	8.15604444986791	8.12480323135223	8.30543786877374	7.99334602071474	8.06747533634442	8.00485132621827	8.14559865970248
"M18"	10.0747197957533	10.118152224401	10.4269074803415	10.2355020893849	10.2692876730956	10.2627474034309	9.66900777785361	9.51506374285961	9.60745692788374	10.2070069910317	10.4297369846884	10.0926984410003	9.9571542804413	9.95415654237701	10.7087514456436	9.73267172136831	10.5691521306506	10.4115409738443	9.5810001435343	9.64508623410107	10.0011927458229	9.94130424985657	10.0027672025118	10.0996240678701	9.80463898687603	9.75881660685172	10.0477383542962	10.2311699212127	10.0748655708108	9.94963014915765	10.401003346376	9.87141365211967	9.75533339528356	9.79680351184745	10.4138387155212	10.0114977061075	10.0472414882334	9.83828438049541	9.92600514668995	10.07767906391	10.3805091358035	10.0258499293483	9.65948968054629	10.3106180611213	10.3776437676497	9.49039282664899	10.2820593766353	10.216638616788	10.4039462260701	10.1650375394047	10.47840782442	9.94403886659184	10.2629275501198	10.0827781256272	9.80139324191716	10.1417526049811	10.0475824995011	9.57874676480557	10.0033568893259	10.2856156079584	10.1558003667677	9.69933197268871	9.96319116570161	10.0205332887342	10.2190052165354	9.95695190204396	10.3112814508028	10.4065583205577	10.2315692047419	10.33379824528	10.3445245350741	10.2417625694892	10.284593891875	9.99286222331941	9.2017787491385	10.1626588554921	10.3168965754856	10.4431070015515	9.95004811098814	9.81984223633288	10.3294350471103	10.2541251281694	9.79772231078998	10.1613151645629	9.82461017573282	10.1496546517211	10.2541921205795	9.63272505072808	9.68905382150411	10.2028714824023	10.034435935719	9.94392057427204	9.93230260046367	10.6326140138751	9.9673700041362	9.99981792209104	10.0651267809737	10.2390263276277	10.1335178645851	10.1611193026515	10.0324192561293	10.0987286488223	10.0213888075235	10.1517784272132	9.86747611365072	10.5060934971551	9.86490418234759	10.2084743340081	9.87161474228926	10.1881967003493	10.0932351274044	9.69215915399291	10.293435955644	9.89930679146108	9.79132378577629	10.2820749478734	10.1538257146503	11.1330217844851	9.95128112479837
