"pathway"	"Female"	"Male"
"M1"	1.13000870303665e-150	5.10634942644133e-152
"M10"	1.34704094118735e-22	2.13618182006835e-21
"M11"	1.51204491178054e-36	2.18590173659028e-36
"M12"	0.0452446814944178	0.0306506734763904
"M13"	2.19523390830139e-50	3.16148739035655e-50
"M14"	0.256314222606357	0.229996134518748
"M15"	2.12029065332236e-18	1.20186631828227e-18
"M16"	3.24281974366602e-28	2.10579149694984e-28
"M17"	0.340172239108409	0.386808755760369
"M18"	6.96693356147904e-11	1.23583635287262e-10
"M19"	2.56930875373773e-22	4.93575896772523e-22
"M2"	2.49737729648969e-19	2.58280805667733e-19
"M20"	0.00128087118721284	0.0016247986994169
"M21"	1	1
"M22"	1	1
"M23"	6.78556717159846e-06	5.56022166335753e-06
"M24"	8.83335383491488e-14	1.8204365341718e-13
"M25"	2.82558461301904e-11	2.26141694613079e-11
"M26"	0.175483870967742	0.145982003909638
"M27"	1	1
"M28"	0.110430934163613	0.154282087324428
"M29"	1	1
"M3"	2.01204003813983e-10	1.70948383189127e-10
"M30"	0.132553606237817	0.128708404107452
"M31"	1.64866190760637e-22	5.36420170118133e-23
"M32"	1.50843896860478e-08	9.61605409345767e-09
"M33"	1.26374673984062e-05	1.30394020888601e-05
"M4"	1	1
"M5"	0.340172239108409	0.324551355479191
"M6"	7.72986497545982e-10	4.32930384649699e-10
"M7"	1	1
"M8"	3.54405461049452e-09	2.62690126143074e-09
"M9"	1.7141913102836e-78	1.9772187902751e-78
"Not.Correlated"	0.0337916222274596	0.0369585100406798
