"genes"	"modules"
"A1BG"	"M17"
"A1BG-AS1"	"M1"
"A1CF"	"M20"
"A2M"	"M2"
"A2M-AS1"	"M4"
"A2ML1"	"M1"
"A2ML1-AS2"	"M1"
"A4GALT"	"M26"
"AAAS"	"M14"
"AACS"	"M17"
"AACSP1"	"M14"
"AADAC"	"M20"
"AADACL2"	"M13"
"AADACL2-AS1"	"M2"
"AADACL3"	"M2"
"AADAT"	"M3"
"AAGAB"	"M1"
"AAMDC"	"M17"
"AAMP"	"M1"
"AANAT"	"M12"
"AAR2"	"M4"
"AARD"	"M11"
"AARS2"	"M5"
"AASDHPPT"	"M16"
"AASS"	"M9"
"AATF"	"M6"
"AATK"	"M13"
"ABAT"	"M1"
"ABCA1"	"M1"
"ABCA10"	"M1"
"ABCA11P"	"M10"
"ABCA12"	"M1"
"ABCA13"	"M6"
"ABCA17P"	"M2"
"ABCA2"	"M10"
"ABCA3"	"M22"
"ABCA4"	"M1"
"ABCA5"	"M1"
"ABCA6"	"M1"
"ABCA7"	"M21"
"ABCA8"	"M1"
"ABCA9"	"M4"
"ABCB1"	"M1"
"ABCB10"	"M10"
"ABCB10P1"	"M1"
"ABCB11"	"M1"
"ABCB4"	"M9"
"ABCB5"	"M6"
"ABCB8"	"M2"
"ABCB9"	"M5"
"ABCC1"	"M12"
"ABCC10"	"M2"
"ABCC12"	"M8"
"ABCC13"	"M3"
"ABCC2"	"M2"
"ABCC3"	"M24"
"ABCC4"	"M9"
"ABCC5"	"M2"
"ABCC6"	"M20"
"ABCC6P1"	"M20"
"ABCC8"	"M1"
"ABCC9"	"M4"
"ABCD2"	"M1"
"ABCD3"	"M7"
"ABCD4"	"M5"
"ABCE1"	"M8"
"ABCF1"	"M2"
"ABCG1"	"M13"
"ABCG2"	"M16"
"ABCG4"	"M1"
"ABCG5"	"M20"
"ABCG8"	"M1"
"ABHD1"	"M2"
"ABHD10"	"M12"
"ABHD11"	"M1"
"ABHD12"	"M3"
"ABHD12B"	"M3"
"ABHD13"	"M12"
"ABHD14A"	"M15"
"ABHD14A-ACY1"	"M13"
"ABHD14B"	"M5"
"ABHD15"	"M9"
"ABHD16A"	"M5"
"ABHD17A"	"M5"
"ABHD17B"	"M7"
"ABHD17C"	"M2"
"ABHD3"	"M9"
"ABHD4"	"M1"
"ABHD5"	"M16"
"ABHD6"	"M1"
"ABHD8"	"M14"
"ABI1"	"M17"
"ABI2"	"M2"
"ABI3"	"M30"
"ABI3BP"	"M26"
"ABITRAM"	"M1"
"ABL1"	"M4"
"ABLIM1"	"M25"
"ABLIM2"	"M1"
"ABLIM3"	"M1"
"ABO"	"M6"
"ABR"	"M10"
"ABRA"	"M3"
"ABRACL"	"M9"
"ABRAXAS1"	"M25"
"ABRAXAS2"	"M8"
"ABT1"	"M4"
"ABTB1"	"M1"
"ABTB2"	"M23"
"ACAA2"	"M1"
"ACAD9"	"M10"
"ACADL"	"M5"
"ACADM"	"M12"
"ACADS"	"M3"
"ACADVL"	"M1"
"ACAN"	"M1"
"ACAP1"	"M2"
"ACAP2-IT1"	"M12"
"ACAP3"	"M5"
"ACAT2"	"M8"
"ACBD4"	"M14"
"ACBD7"	"M5"
"ACCS"	"M8"
"ACD"	"M6"
"ACE"	"M1"
"ACER1"	"M1"
"ACHE"	"M1"
"ACIN1"	"M11"
"ACKR1"	"M7"
"ACKR2"	"M19"
"ACKR3"	"M6"
"ACLY"	"M9"
"ACO1"	"M1"
"ACO2"	"M13"
"ACOT1"	"M3"
"ACOT11"	"M8"
"ACOT12"	"M1"
"ACOT13"	"M2"
"ACOT2"	"M3"
"ACOT4"	"M13"
"ACOT7"	"M15"
"ACOT8"	"M5"
"ACOX2"	"M20"
"ACOXL"	"M1"
"ACOXL-AS1"	"M1"
"ACP2"	"M29"
"ACP3"	"M19"
"ACP5"	"M20"
"ACP6"	"M1"
"ACP7"	"M2"
"ACRBP"	"M10"
"ACRV1"	"M1"
"ACSBG1"	"M3"
"ACSF2"	"M9"
"ACSF3"	"M7"
