"","hub1","hub2","hub3","hub4","hub5","hub6","hub7","hub8","hub9","hub10"
"1","PCDH15","EML1","RAPGEF4","LINC00869","SPIRE1","UPP1","RAB3B","ANKRD55","GRM8","PPP3R2"
"2","521.557351315097","514.376950411458","512.184794233564","498.727877275361","492.054044330443","489.205957461196","481.627810011764","481.573740213262","479.907509979501","469.643029775674"
"3","CIZ1","CNOT3","UBAP2L","BCL9L","SF3A1","GLS","MAML1","SP2","BAZ2A","PHC1"
"4","70.9446649366085","69.8396287372719","69.3838946282811","67.5357262162376","67.2511475745808","63.0275453127362","61.6237182620876","61.2492803041103","58.4508791983845","58.3193630731019"
"5","MAP4K4","ZNF286A","WDR76","KAT6B","GAREM1","SEZ6","DCAF1","ZNF160","ADAM10","MCM3AP-AS1"
"6","69.8527151053607","68.2903654354401","68.2476444165635","67.5713014307615","65.4636825701016","65.2122568006034","63.8499285823618","62.4846596048059","61.8613562977906","61.3814674165264"
"7","HSPA13","MRPL50","C2orf69","TWF1","LRRC40","KBTBD7","CHMP5","UFM1","TMED7","TIPRL"
"8","41.1878118476286","35.4002659323457","30.6782208737567","30.0800304310579","29.4216398859896","29.3269301026847","29.124455932456","27.0840812684263","26.7788814642724","26.685395796775"
"9","SLC27A4","SNPH","C2CD4C","BOK","DNAJC5","MAP1LC3A","ORAI2","B4GAT1","CYB561","LY6H"
"10","60.0701264172233","56.2273904223826","55.1640777421859","53.9419325000578","53.8346862031062","50.8503863518622","47.0183962820811","46.5809072891423","45.7998319299401","45.6702306967047"
"11","PRDX2","PAQR4","ELP5","GET3","COPE","PPP1CA","AIP","UBL7","BTBD6","HYAL2"
"12","38.2525541696951","35.4940918538866","35.4180354353246","34.899515584427","34.453538356862","34.3695721995374","34.2911235043295","34.0579118521013","33.6350993758494","32.6593882762665"
"13","STMN3","ACOT7","ATP13A2","REEP2","MAPK8IP1","FBXO44","CRAT","PRXL2B","MBOAT7","NCDN"
"14","19.1506545122729","16.8784193855752","16.6309815461252","15.6580670866252","14.809572532439","14.6816661184793","14.4731568780601","14.2008477935587","13.4990600024211","13.0576046835115"
"15","ELOVL4","B3GALNT1","ANKRD46","LIN7C","SCOC","MMD","TRAM1L1","SMIM13","SARAF","TMEM9B"
"16","36.8887876169218","36.1627976904482","35.9548624864029","34.8728167336159","32.1018005401339","31.1646508917171","30.8404727522252","30.1575685316994","29.7465771920408","27.6066757147718"
"17","RABEP1","STAU2","RAB5A","LARP1B","ITFG1","PPP1R2","WDR7","DNAJC28","OTUD6B-AS1","VKORC1L1"
"18","24.1027712290571","23.6917519226534","22.506370952805","22.3912781122211","21.7569926214492","21.3028011354811","20.8138716450398","20.3266436401653","20.2113681683683","20.0725793799177"
"19","CIC","TTYH3","DHX34","ZSWIM4","PRRC2A","PTPRS","ULK1","WIZ","PHRF1","SOGA1"
"20","20.9154797366302","20.7930863766852","20.1368361283788","19.0333341678511","18.7172868503177","18.2203376037845","18.0981742107982","17.6997451446988","17.6338933380618","16.6268759219297"
"21","ERVH48-1","F13A1","SIGLEC6","PHLDA2","KRT7","ERVV-1","HSD3B1","CRYBG1","LINC02583","KIAA0040"
"22","31.9583076796513","29.6766451350943","28.9008431139789","28.732217925901","28.0382410409548","27.7261281791738","27.3736213197104","25.7013509322204","25.2878709826152","24.0753959238854"
"23","PSIP1","NKAPD1","FIP1L1","BCLAF1","CWC22","UPF2","RAB10","RSRC2","TOPORS","DEK"
"24","186.030249756534","181.743587151114","176.624895378342","168.493873617211","161.992603801903","161.6273952317","160.471989744616","157.653489233611","157.562010225332","157.326629292786"
"25","UGT2B10","SERPINA4","SERPINA6","APOH","CPB2","APOA2","ADH1A","SLCO1B1","AMBP","ALDOB"
"26","49.4327060632889","48.9813295240061","47.2340232500344","46.7134614330081","46.462987178198","46.4284425388994","46.2794500983232","45.7648733087573","45.6247584777468","45.5832113411336"
"27","KCNK2","NKAIN2","RBM24","USP46","PLPPR4","SH3GL3","DLG2","ACTN2","PTPN2","WWC1"
"28","19.0293680813217","16.7093454546054","16.0252411972787","15.8700497665224","15.7038745428904","15.5909834041832","15.1603355485218","15.0197984018008","13.5159189570817","12.688195859862"
"29","PEDS1","PCDH1","AKAP1","AGAP2","GPR75","DUSP8","ROGDI","ABCA3","MAPK3","POR"
"30","28.4824104041838","26.8290296941433","26.0137472076225","24.7165088993594","24.7043329485742","23.9396516083017","23.648367582693","23.55466208254","23.3369342232765","22.6085628940139"
"31","SLC41A2","MBLAC2","DIPK1A","PRNP","DNAJC6","DGKE","TMOD2","AJUBA","RIMS1","REEP5"
"32","17.2035064459683","16.5983021901548","15.5766005570995","15.0806614254166","15.0266292619541","14.5475658542425","14.3751748975912","14.2993219008478","14.0589204451282","13.7695074588955"
"33","TCF23","HCAR1","MIR194-2HG","CCR4","KCNG4","KCNA7","TTC16","ZNF556","TMED2-DT","CA5A"
"34","17.8019690722345","15.7753804087271","15.4257655853283","14.9628596357759","14.3313589687617","13.956636637323","13.6289427241555","13.1877044320709","12.6358918575293","12.5043096426476"
"35","PPP2R2C","MAP1A","BEAN1","UHRF2","CHD5","CDK5R2","ADAP1","TPPP","SCN3B","MAPRE3"
"36","35.1567718551401","33.6866905466837","33.6115219204904","32.2273383341821","30.417447865563","28.0459810239429","27.6616560233535","26.3423781406824","26.0704392613734","25.6209423814221"
"37","HAND2","TGM2","LUM","IL1R1","HSD11B1","LMOD1","C1R","MYL9","SCARA5","EMILIN2"
"38","15.0920925809097","14.6640913083043","14.452690971929","14.4279346684722","13.722171077679","12.7607591670476","12.3765208679594","11.9870059161147","11.8413207612761","11.5838716318151"
"39","SNORD116-3","SNORD116-9","SNORD115-33","SNORD116-8","SNORD116-2","SNORD33","SNORD55","SNORD115-23","SNORD116-24","SNORD110"
"40","28.3672008753605","28.3672008753605","27.3999829510871","26.7227368996124","26.5538935577225","26.3872199705677","24.8062728006622","24.4059495036578","24.2893125157659","24.0990493110806"
"41","SNORA37","SNORA52","SNORA68","SNORA21","SNORA63D","SNORA79B","SNORA7B","SNORA3A","SNORA2C","SNORA67"
"42","38.8785277627933","37.8459213667498","36.1798161485616","35.5897602697066","35.3019283329939","34.8879591503737","34.2758022105035","33.7713025453222","33.6784687389331","32.5988774385638"
"43","INSYN1","MED29","ARF1","PKM","DNAJB6P7","ACP2","PPP2R5D","TIMM22","RPN1","ITM2C"
"44","7.36017534832595","7.17872960348638","7.03001220950944","6.91029455410477","6.81548233160418","6.29503827142404","6.14736805554363","6.13117441254448","6.08773315828526","6.01949788052657"
"45","SNHG31","SEPSECS-AS1","SZT2","XAF1","TPTEP1","MRPL54","TMEM212","GHET1","ROR1-AS1","APH1A"
"46","199.471902305549","191.674576422199","191.462139020028","191.265803943133","189.666370035293","184.385154220981","182.838128760958","181.274604613907","179.432227291289","179.379058077051"
"47","LAPTM5","B2M","FOLR2","C1QB","FCGR2A","TYROBP","AIF1","PARP9","FYB1","FCGR3A"
"48","9.15983895579833","7.62804476429448","7.50835080308771","6.77182094332457","5.73087071414846","5.5897855196575","5.35278780540954","5.10974039982908","4.77121191046195","4.64736146376227"
"49","HOTAIRM1","HOXA4","HOXB2","HOXD4","HOXC4","HOXD3","HOXA3","HOXA1","HOXA2","HOXB4"
"50","28.5932353418962","28.3765326612624","28.364946984028","27.4384557295779","27.3611353799845","26.8692113203348","26.7214780426437","26.6962187698738","26.6663722930261","26.4907611140536"
"51","MIR217HG","SKOR2","CPLX4","CCDC140","SLC1A6","NDNF","PDE11A","TRPC3","KCNK1","FGF5"
"52","11.3065213444288","11.2833833486308","11.1494357952392","11.0470398058751","10.0290877121994","9.94778451386097","9.7685711438614","9.03257968480696","8.92900924623459","8.78748593754328"
"53","CFAP126","CAPSL","CFAP45","MAP3K19","DNAI3","RSPH1","MAK","DNAH9","RSPH4A","SPAG6"
"54","17.9116997214195","17.8287668000615","17.6785412349828","17.3441020513628","17.2903858433336","17.0890482518283","16.595266502856","15.7413542433994","15.6912822754679","15.5492238741765"
"55","RPL7A","RPL13A","RPS5","RPL13","UBA52","RPL10A","KCNQ1OT1","RPL18","RPL29","KLHDC3"
"56","123.039107039083","113.912872410176","112.056806878094","110.400071161701","109.694527348726","107.409174709353","106.123697110469","104.972417459872","102.259163203917","101.18305311803"
"57","CYHR1","BRAT1","MCRIP1","FASTK","B3GAT3","ANAPC2","TRMT61A","DYNC2I2","NUBP2","GATD1"
"58","96.1158348628213","90.493341535221","83.2222840927222","82.9172953013708","82.4389706942917","82.1596348858713","81.8210951943928","80.9623230360544","79.9315690615501","78.7627753509748"
"59","SCNM1","PPM1G","PAF1","CSNK2B","PRAL","EFHC1","SERPINB9P1","DAXX","VPS72","POLDIP3"
"60","95.6522934474711","93.5169634050799","92.5757647304068","91.4945065341564","90.2487743006553","85.496121461973","83.5681998022448","83.4937294555971","83.1312744555143","82.6587077908463"
"61","MMADHC","ABHD17B","COPB1","PSMD14","PEX13","FANCF","RPS27A","ZBED8","TM9SF2","GPN3"
"62","112.666981176448","109.16831468118","101.354524922342","99.0288490755524","98.375193915693","94.8886365923955","94.7105706141659","94.1025542370583","93.2744153369789","92.1786573416597"
"63","CDC5L","SP3","KIF5B","CCT2","DDX21","ZNF121","KIAA1586","WAPL","THUMPD1","EIF3E"
"64","132.013836427526","122.887685084406","121.136109142454","118.770976842125","114.791724065019","112.681692572278","112.651537992003","109.130164938511","108.470063748146","107.655303529576"
"65","CCNB2","CDCA8","KIF11","NCAPH","RRM2","DLGAP5","MELK","ARHGAP11A","KIF23","ZNF367"
