Module	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
M1	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	113/996	272/5245	7.83234197593376e-19	1.44898326554775e-16	1.28615299815333e-16	ADORA2B/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2C/ADRB1/APLNR/BDKRB2/CALCR/CALCRL/CCKAR/CHRM2/CHRM3/CHRM4/CHRM5/CHRNA2/CHRNA3/CHRNA5/CHRNA6/CHRNA7/CHRNB3/CHRND/CRHR2/DRD1/DRD2/DRD3/DRD5/EDNRA/EDNRB/F2R/GABRA1/GABRA6/GABRG1/GABRG2/GABRG3/GABRR1/GALR1/GHR/GHRHR/GLRA1/GLRA3/GPR156/GPR83/GRIA2/GRIA4/GRIK1/GRIK2/GRIK3/GRIK4/GRIN2A/GRIN2D/GRIN3A/GRM1/GRM2/GRM4/GRM6/GRM8/HCRTR2/HRH1/HRH3/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR4/HTR5A/HTR6/HTR7/LHCGR/LPAR1/LPAR2/LTB4R/MC4R/MCHR1/MTNR1A/MTNR1B/NMBR/NMUR1/NPFFR2/NPY2R/NPY4R/NR3C1/NTSR2/OPRK1/OPRM1/P2RX6/P2RX7/P2RY1/PARD3/PRL/PRLHR/PRLR/PRSS3/PTGER2/PTGER3/PTGER4/PTH1R/RXFP2/S1PR1/S1PR3/SCTR/SSTR1/SSTR2/SSTR3/TACR1/TACR3/TSHR/VIPR1/VIPR2	113
M1	KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	71/996	178/5245	3.64974357498858e-11	3.37601280686444e-09	2.99663156683273e-09	ADCY2/ADCY8/ADORA2B/ADRA1A/ADRA1B/ADRA1D/ADRB1/ATP2A1/ATP2B4/BDKRB2/CACNA1A/CACNA1D/CACNA1E/CACNA1G/CACNA1S/CALM1/CAMK2A/CAMK2D/CCKAR/CD38/CHRM2/CHRM3/CHRM5/CHRNA7/DRD1/DRD5/EDNRA/EDNRB/EGFR/ERBB3/ERBB4/F2R/GRIN2A/GRIN2D/GRM1/HRH1/HTR2A/HTR2B/HTR4/HTR5A/HTR6/HTR7/ITPKA/ITPKB/ITPR3/LHCGR/NOS1/NOS2/P2RX6/P2RX7/PDE1A/PDE1B/PDE1C/PDGFRA/PDGFRB/PLCB1/PLCB4/PLCD4/PLCE1/PLCG2/PLCZ1/PPP3R2/PRKACA/PTGER3/PTK2B/RYR1/RYR3/SPHK1/TACR1/TACR3/TNNC2	71
M1	KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	31/996	90/5245	0.00034350089639637	0.0211825552777762	0.0188021543290645	ADCY2/ADCY5/ADCY8/ADRB1/DRD1/DRD2/EGFR/GJA1/GJD2/GRB2/GRM1/GUCY1A1/GUCY1A2/HTR2A/HTR2B/ITPR3/LPAR1/PDGFB/PDGFC/PDGFRA/PDGFRB/PLCB1/PLCB4/PRKACA/PRKG1/PRKG2/TJP1/TUBA1C/TUBA4A/TUBB/TUBB8	31
M1	KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	29/996	84/5245	0.000506046328738624	0.0234046427041614	0.0207745334955856	CD36/CD44/CHAD/COL11A1/COL2A1/COL4A2/COL4A4/COL5A2/COL5A3/ITGA3/ITGA4/ITGA8/ITGA9/ITGB1/ITGB3/ITGB5/ITGB6/LAMA4/LAMB3/LAMC2/RELN/SDC1/SDC2/SV2C/THBS1/THBS2/THBS4/TNN/VWF	29
M1	KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	85/996	325/5245	0.000653966069847391	0.0241967445843535	0.0214776225044617	ARNT2/BID/BMP4/CASP9/CCND1/CCNE1/CDKN1A/CDKN2B/COL4A2/COL4A4/CTBP2/CTNNA1/CTNNA2/CTNNA3/CXCL8/DAPK2/EGFR/EGLN3/ETS1/FAS/FASLG/FGF1/FGF10/FGF14/FGF20/FGF7/FGFR2/FLT3/FOS/FOXO1/FZD1/FZD10/FZD2/FZD4/FZD5/FZD6/GLI2/GLI3/GRB2/HGF/HHIP/IGF1/IKBKB/ITGA3/ITGB1/JUN/KITLG/LAMA4/LAMB3/LAMC2/LEF1/MAPK10/MECOM/MET/NKX3-1/NOS2/NTRK1/PAX8/PDGFB/PDGFRA/PDGFRB/PIAS3/PIK3CG/PIK3R3/PIK3R5/PLCG2/PLD1/PTCH1/PTGS2/RARB/RASSF5/RET/RHOA/RUNX1/RXRG/SHH/SKP2/STAT5A/TCF7L2/TRAF3/VEGFC/WNT3/WNT4/WNT5A/WNT8B	85
M1	KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	39/996	129/5245	0.00125048080149914	0.0385564913795569	0.0342236850936608	ABLIM2/ABLIM3/DPYSL2/EFNA5/EFNB2/EFNB3/EPHA1/EPHA3/EPHA4/EPHA5/EPHA7/EPHA8/EPHB3/EPHB6/FES/ITGB1/LIMK2/MET/NFATC1/NTN1/NTN4/NTNG1/PAK2/PAK6/PLXNA2/PLXNC1/PPP3R2/RHOA/ROBO3/SEMA3D/SEMA4A/SEMA4F/SEMA5A/SEMA6A/SEMA7A/SLIT2/SLIT3/UNC5C/UNC5D	39
M1	KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS	13/996	30/5245	0.00185795643213544	0.0491031342778652	0.0435851433703953	GALNT12/GALNT13/GALNT14/GALNT17/GALNT18/GALNT3/GALNT6/GALNT7/GALNTL6/GCNT3/GCNT4/ST3GAL1/ST6GALNAC1	13
M1	KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	52/996	199/5245	0.00721535520078759	0.166855089018213	0.148104659384587	CCND1/CHAD/COL11A1/COL2A1/COL4A2/COL4A4/COL5A2/COL5A3/EGFR/GRB2/HGF/IGF1/ITGA3/ITGA4/ITGA8/ITGA9/ITGB1/ITGB3/ITGB5/ITGB6/JUN/KDR/LAMA4/LAMB3/LAMC2/MAPK10/MET/MYL7/PAK2/PAK6/PARVA/PARVB/PDGFB/PDGFC/PDGFRA/PDGFRB/PIK3CG/PIK3R3/PIK3R5/RASGRF1/RELN/RHOA/SHC3/THBS1/THBS2/THBS4/TNN/VAV2/VAV3/VCL/VEGFC/VWF	52
M1	KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	18/996	55/5245	0.0104564563999696	0.21493827044382	0.190784467648568	BMP4/FZD1/FZD10/FZD2/FZD4/FZD5/FZD6/GLI2/GLI3/HHIP/LEF1/PTCH1/SHH/TCF7L2/WNT3/WNT4/WNT5A/WNT8B	18
M1	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	32/996	115/5245	0.0126222688938793	0.233511974536766	0.207270941836333	ADCY2/ADCY5/ADCY8/ADORA2B/ADRA1A/ADRA1B/ADRA1D/CACNA1D/CACNA1S/CALCRL/CALM1/CYP4A11/EDNRA/GUCY1A1/GUCY1A2/IRAG1/ITPR3/KCNMA1/KCNMB2/NPR2/PLA2G2C/PLA2G3/PLA2G4A/PLA2G5/PLCB1/PLCB4/PRKACA/PRKCD/PRKCE/PRKCQ/PRKG1/RHOA	32
