"pathway"	"Female"	"Male"
"M1"	2.33629378283853	-2.34357363721839
"M10"	-2.29835435320612	2.30264586148047
"M11"	-2.86412520233287	2.84593921338242
"M12"	1.27363441509739	-1.27065040627573
"M13"	3.06362878045921	-3.05880367573065
"M14"	1.11465411364395	-1.11458853610875
"M15"	2.50426378691667	-2.50716982506623
"M16"	2.85655319085108	-2.86339625920797
"M17"	-1.04618042492857	1.03469441367914
"M18"	-2.19425331295443	2.17016261345733
"M19"	-2.84317112531274	2.81393026268574
"M2"	-1.64630675227498	1.64303526102029
"M20"	1.54697576048412	-1.55216919395746
"M21"	-0.719855653501791	0.722713992428859
"M22"	0.625253876101535	-0.628967747690248
"M23"	1.86364933823154	-1.87630640794469
"M24"	-2.56956349494987	2.52940165452189
"M25"	2.33769622499951	-2.3258836161493
"M26"	-1.17810646366622	1.16827576809736
"M27"	0.667777803796782	-0.663683681796364
"M28"	-1.26415245661795	1.2487643111821
"M29"	0.614957639147796	-0.616505308243429
"M3"	-1.4600554013847	1.45175506661982
"M30"	-1.30126296454385	1.28365312109377
"M31"	3.16523693665125	-3.14906795108093
"M32"	2.38933506669661	-2.38085670959745
"M33"	2.13041397867539	-2.11025982004496
"M4"	0.366624250871902	-0.36901734923535
"M5"	1.05460084534662	-1.06104688054052
"M6"	-1.68681808945413	1.68767886575825
"M7"	0.790529788602973	-0.793192170047195
"M8"	-1.66071144860905	1.67739748043425
"M9"	-3.40660623240075	3.44113694594673
"Not.Correlated"	-1.63548598015619	1.62203586058082
