"pathway"	"Female"	"Male"
"M1"	8.37139531507761e-150	3.39794469632177e-150
"M10"	5.24342531810169e-23	3.05746220789009e-23
"M11"	2.41926102320089e-36	3.49191622465875e-36
"M12"	0.0528360528360528	0.0270749000745805
"M13"	2.12305672680257e-49	3.03080450620042e-50
"M14"	0.267781213761113	0.245707634106121
"M15"	1.82946959301764e-18	5.84757555581254e-18
"M16"	2.69502823037175e-28	1.05741026318886e-28
"M17"	0.423236514522822	0.38477366255144
"M18"	4.32376185579698e-11	3.44342503378153e-11
"M19"	5.04183750369804e-22	3.08236202549473e-22
"M2"	2.75918867952706e-19	4.09735388347735e-19
"M20"	0.00211992582643896	0.00182692439585594
"M21"	1	1
"M22"	1	1
"M23"	6.73837963911168e-06	7.74406480469575e-06
"M24"	1.31034118974676e-13	1.50948300339059e-13
"M25"	1.71769255463414e-10	3.11592486105361e-11
"M26"	0.168859060402685	0.194918566775244
"M27"	1	1
"M28"	0.132481614651318	0.118715083798883
"M29"	1	1
"M3"	2.58424402068941e-10	2.54996247464574e-10
"M30"	0.168859060402685	0.118715083798883
"M31"	3.72858324057702e-23	2.20155671875176e-22
"M32"	1.30819497427168e-08	1.85367378080832e-08
"M33"	2.26791276867065e-05	8.11943876710997e-06
"M4"	1	1
"M5"	0.357760240511086	0.324419334588826
"M6"	5.74830763744943e-10	9.67722457233047e-10
"M7"	1	1
"M8"	4.64122951805689e-09	2.06813262439491e-09
"M9"	6.6641587387743e-79	4.44198848081435e-79
"Not.Correlated"	0.0288376048086241	0.013720030623326
