MotifID	TF_Info
M0085_1.02	(TFAP2E)_(Mus_musculus)_(DBD_0.99)
M0104_1.02	(ARID3B)_(Mus_musculus)_(DBD_0.99)
M0105_1.02	(ARID3C)_(Mus_musculus)_(DBD_0.87)
M0108_1.02	(ARID5A)_(Mus_musculus)_(DBD_0.97)
M0177_1.02	(TWIST2)_(Mus_musculus)_(DBD_1.00)
M0178_1.02	(ASCL2)_(Mus_musculus)_(DBD_0.98)
M0189_1.02	(ID2)_(Mus_musculus)_(DBD_0.98)
M0195_1.02	(TCF23)_(Mus_musculus)_(DBD_0.60)
M0196_1.02	(NPAS2)_(Mus_musculus)_(DBD_1.00)
M0198_1.02	(SOHLH2)_(Mus_musculus)_(DBD_0.84)
M0199_1.02	(HES2)_(Mus_musculus)_(DBD_0.83)
M0211_1.02	(MLXIP)_(Mus_musculus)_(DBD_0.82)
M0212_1.02	(TCFL5)_(Mus_musculus)_(DBD_1.00)
M0214_1.02	(TCF21)_(Mus_musculus)_(DBD_1.00)
M0216_1.02	(NHLH2)_(Mus_musculus)_(DBD_1.00)
M0217_1.02	(NEUROG1)_(Mus_musculus)_(DBD_1.00)
M0300_1.02	(ATF2)_(Mus_musculus)_(DBD_1.00)
M0305_1.02	(CREB3L2)_(Mus_musculus)_(DBD_1.00)
M0307_1.02	(ENSG00000250542)_(Mus_musculus)_(DBD_1.00)
M0395_1.02	(ZNF187)_(Mus_musculus)_(DBD_0.88)
M0396_1.02	(OSR2)_(Mus_musculus)_(DBD_1.00)
M0398_1.02	(ZSCAN10)_(Mus_musculus)_(DBD_0.82)
M0404_1.02	(ZNF202)_(Mus_musculus)_(DBD_0.87)
M0405_1.02	(KLF7)_(Mus_musculus)_(DBD_1.00)
M0408_1.02	(ZKSCAN1)_(Mus_musculus)_(DBD_0.99)
M0413_1.02	(ZBTB1)_(Mus_musculus)_(DBD_0.99)
M0415_1.02	(KLF9)_(Mus_musculus)_(DBD_1.00)
M0422_1.02	(ZIC5)_(Mus_musculus)_(DBD_0.99)
M0424_1.02	(SNAI3)_(Mus_musculus)_(DBD_0.75)
M0428_1.02	(ZNF691)_(Mus_musculus)_(DBD_0.97)
M0431_1.02	(OSR1)_(Mus_musculus)_(DBD_1.00)
M0432_1.02	(ZFP161)_(Mus_musculus)_(DBD_1.00)
M0433_1.02	(ZBTB12)_(Mus_musculus)_(DBD_1.00)
M0436_1.02	(ZNF35)_(Mus_musculus)_(DBD_0.96)
M0437_1.02	(ZNF32)_(Mus_musculus)_(DBD_0.99)
M0442_1.02	(ZBTB3)_(Mus_musculus)_(DBD_1.00)
M0443_1.02	(KLF12)_(Mus_musculus)_(DBD_1.00)
M0594_1.02	(LIN54)_(Gallus_gallus)_(DBD_0.98)
M0603_1.02	CGBP
M0607_1.02	KDM2B
M0608_1.02	MLL
M0609_1.02	DNMT1
M0610_1.02	TET1
M0629_1.02	DMRT3
M0630_1.02	DMRT1
M0632_1.02	DMRTA2
M0633_1.02	DMRT2
M0635_1.02	(DMRTC2)_(Mus_musculus)_(DBD_1.00)
M0714_1.02	(ENSG00000235187)_(Mus_musculus)_(DBD_1.00)
M0718_1.02	FOXK1
M0719_1.02	FOXG1
M0728_1.02	(FOXJ1)_(Mus_musculus)_(DBD_1.00)
M0736_1.02	(FOXK2)_(Mus_musculus)_(DBD_0.90)
M0737_1.02	(FOXB2)_(Mus_musculus)_(DBD_0.94)
M0747_1.02	(FOXL2)_(Mus_musculus)_(DBD_0.70)
M0756_1.02	(FOXN3)_(Strongylocentrotus_purpuratus)_(DBD_0.44)
M0887_1.02	HOXA2
M0890_1.02	LHX6
M0891_1.02	TLX2
M0892_1.02	EMX1
M0893_1.02	ZFHX2
M0894_1.02	LBX1
M0896_1.02	VENTX
M0897_1.02	HOXB13
M0898_1.02	ZHX1
M0900_1.02	SHOX
M0901_1.02	AC226150.2
M0905_1.02	(HOXA4)_(Mus_musculus)_(DBD_1.00)
M0906_1.02	(VTN)_(Mus_musculus)_(DBD_0.79)
M0931_1.02	(LHX1)_(Mus_musculus)_(DBD_1.00)
M0937_1.02	(SIX6)_(Mus_musculus)_(DBD_1.00)
M0942_1.02	(IRX4)_(Mus_musculus)_(DBD_1.00)
M0943_1.02	(OTP)_(Mus_musculus)_(DBD_1.00)
M0949_1.02	(AC012531.1)_(Mus_musculus)_(DBD_1.00)
M0952_1.02	(SIX2)_(Mus_musculus)_(DBD_1.00)
M0958_1.02	(LHX4)_(Mus_musculus)_(DBD_1.00)
M0961_1.02	(BARHL1)_(Mus_musculus)_(DBD_1.00)
M0969_1.02	(LHX8)_(Mus_musculus)_(DBD_1.00)
M0975_1.02	(LHX5)_(Mus_musculus)_(DBD_1.00)
M0994_1.02	(SIX4)_(Mus_musculus)_(DBD_1.00)
M0996_1.02	(HDX)_(Mus_musculus)_(DBD_0.99)
M0999_1.02	(NKX6-1)_(Mus_musculus)_(DBD_1.00)
M1007_1.02	(HOXA11)_(Mus_musculus)_(DBD_1.00)
M1012_1.02	(HOXB4)_(Mus_musculus)_(DBD_1.00)
